"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Feb-2025","EQ","1,627.00","1,637.55","1,598.00","1,639.25","1,600.00","1,601.30","1,609.35","1,779.00","1,099.00","46,73,190","7,52,07,92,175.05","1,91,311"
"21-Feb-2025","EQ","1,643.50","1,658.70","1,629.20","1,643.50","1,636.75","1,639.25","1,642.53","1,779.00","1,097.65","54,47,583","8,94,78,42,381.30","1,61,361"
"20-Feb-2025","EQ","1,639.85","1,649.80","1,627.25","1,645.20","1,647.00","1,643.50","1,635.70","1,779.00","1,097.65","55,24,503","9,03,64,35,549.30","1,94,090"
"19-Feb-2025","EQ","1,670.00","1,673.45","1,638.45","1,668.90","1,640.00","1,645.20","1,649.60","1,779.00","1,097.65","77,76,555","12,82,81,71,503.55","2,29,239"
"18-Feb-2025","EQ","1,692.00","1,695.95","1,655.80","1,675.55","1,669.50","1,668.90","1,668.91","1,779.00","1,097.65","75,29,598","12,56,62,30,247.90","1,82,050"
"17-Feb-2025","EQ","1,711.75","1,716.90","1,666.25","1,717.05","1,676.50","1,675.55","1,686.91","1,779.00","1,097.65","49,06,462","8,27,67,61,536.20","1,67,548"
"14-Feb-2025","EQ","1,714.00","1,724.10","1,705.25","1,714.60","1,715.00","1,717.05","1,714.68","1,779.00","1,097.65","51,25,863","8,78,91,95,888.15","1,32,902"
"13-Feb-2025","EQ","1,710.00","1,728.40","1,703.90","1,711.55","1,710.60","1,714.60","1,717.52","1,779.00","1,097.65","53,56,002","9,19,90,17,749.95","2,48,069"
"12-Feb-2025","EQ","1,704.00","1,713.70","1,684.50","1,696.75","1,712.00","1,711.55","1,702.11","1,779.00","1,097.65","71,48,192","12,16,69,76,749.65","1,93,104"
"11-Feb-2025","EQ","1,706.00","1,706.65","1,686.20","1,693.05","1,695.90","1,696.75","1,697.86","1,779.00","1,097.65","89,65,266","15,22,17,72,711.85","2,04,795"
"10-Feb-2025","EQ","1,698.85","1,700.00","1,678.05","1,676.75","1,694.50","1,693.05","1,689.87","1,779.00","1,097.65","67,82,878","11,46,21,83,700.60","2,20,261"
"07-Feb-2025","EQ","1,635.05","1,707.55","1,635.00","1,619.75","1,678.00","1,676.75","1,685.72","1,779.00","1,097.65","1,48,73,255","25,07,21,37,924.85","4,58,983"
"06-Feb-2025","EQ","1,665.90","1,667.30","1,613.25","1,660.45","1,621.90","1,619.75","1,630.19","1,779.00","1,097.65","52,29,162","8,52,45,33,206.15","1,35,010"
"05-Feb-2025","EQ","1,670.00","1,675.20","1,649.10","1,661.45","1,657.80","1,660.45","1,659.88","1,779.00","1,097.65","39,20,893","6,50,82,06,942.10","1,60,722"
"04-Feb-2025","EQ","1,662.15","1,668.30","1,629.05","1,652.35","1,663.00","1,661.45","1,648.08","1,779.00","1,097.65","63,85,876","10,52,44,38,817.30","2,09,388"
"03-Feb-2025","EQ","1,619.90","1,661.00","1,608.10","1,623.25","1,651.00","1,652.35","1,646.73","1,779.00","1,097.65","41,46,970","6,82,89,39,750.05","1,92,465"
"01-Feb-2025","EQ","1,627.00","1,644.00","1,609.20","1,626.30","1,624.90","1,623.25","1,627.35","1,779.00","1,097.65","27,41,589","4,46,15,22,182.00","87,609"
"31-Jan-2025","EQ","1,639.10","1,639.10","1,574.25","1,640.75","1,627.35","1,626.30","1,615.44","1,779.00","1,097.65","83,40,866","13,47,41,26,995.10","2,54,531"
"30-Jan-2025","EQ","1,606.70","1,644.95","1,595.20","1,600.45","1,642.50","1,640.75","1,628.63","1,779.00","1,097.65","42,83,637","6,97,64,50,419.80","1,89,279"
"29-Jan-2025","EQ","1,620.00","1,626.90","1,593.15","1,618.35","1,605.70","1,600.45","1,614.94","1,779.00","1,097.65","50,09,227","8,08,95,82,028.80","1,43,936"
"28-Jan-2025","EQ","1,607.65","1,630.30","1,597.00","1,602.60","1,618.80","1,618.35","1,615.40","1,779.00","1,097.65","52,16,471","8,42,66,87,243.95","1,59,833"
"27-Jan-2025","EQ","1,638.95","1,647.20","1,593.70","1,644.80","1,604.35","1,602.60","1,614.62","1,779.00","1,097.65","66,22,807","10,69,33,44,747.05","1,71,786"
"24-Jan-2025","EQ","1,634.05","1,661.90","1,634.05","1,636.00","1,641.45","1,644.80","1,646.84","1,779.00","1,097.65","36,20,058","5,96,16,40,034.75","1,22,533"
"23-Jan-2025","EQ","1,624.50","1,645.40","1,617.20","1,631.75","1,638.00","1,636.00","1,635.89","1,779.00","1,097.65","24,57,080","4,01,95,13,108.75","1,23,511"
"22-Jan-2025","EQ","1,627.50","1,641.00","1,622.55","1,626.15","1,631.00","1,631.75","1,632.24","1,779.00","1,097.65","32,62,136","5,32,45,93,310.25","1,16,455"
"21-Jan-2025","EQ","1,654.00","1,656.70","1,620.30","1,641.15","1,628.85","1,626.15","1,636.97","1,779.00","1,097.65","79,58,844","13,02,83,83,404.70","2,66,374"
"20-Jan-2025","EQ","1,638.00","1,645.00","1,618.10","1,627.50","1,640.00","1,641.15","1,635.00","1,779.00","1,097.65","39,33,044","6,43,05,25,082.85","1,46,010"
"17-Jan-2025","EQ","1,630.10","1,639.00","1,623.00","1,630.20","1,624.30","1,627.50","1,629.06","1,779.00","1,074.55","26,78,801","4,36,39,39,418.55","91,952"
"16-Jan-2025","EQ","1,619.05","1,635.00","1,600.55","1,607.45","1,634.00","1,630.20","1,624.68","1,779.00","1,074.55","52,99,325","8,60,97,08,184.45","1,97,728"
"15-Jan-2025","EQ","1,608.05","1,613.85","1,593.00","1,600.10","1,609.00","1,607.45","1,605.63","1,779.00","1,074.55","29,60,985","4,75,42,53,926.20","1,72,794"
"14-Jan-2025","EQ","1,604.70","1,633.40","1,578.50","1,597.20","1,594.05","1,600.10","1,608.51","1,779.00","1,074.55","72,84,572","11,71,73,27,866.95","2,96,914"
"13-Jan-2025","EQ","1,580.00","1,614.70","1,578.10","1,615.90","1,594.10","1,597.20","1,598.88","1,779.00","1,074.55","37,05,039","5,92,38,97,408.20","1,69,667"
"10-Jan-2025","EQ","1,608.00","1,625.00","1,591.80","1,607.05","1,611.00","1,615.90","1,613.45","1,779.00","1,045.25","41,45,892","6,68,92,10,125.05","1,82,178"
"09-Jan-2025","EQ","1,600.00","1,620.20","1,592.40","1,599.20","1,607.80","1,607.05","1,605.42","1,779.00","1,045.25","46,84,859","7,52,11,59,280.55","3,12,415"
"08-Jan-2025","EQ","1,598.75","1,613.45","1,577.85","1,590.85","1,601.15","1,599.20","1,591.05","1,779.00","1,045.25","36,74,564","5,84,64,08,484.30","2,09,954"
"07-Jan-2025","EQ","1,594.00","1,603.00","1,584.05","1,588.45","1,591.00","1,590.85","1,591.45","1,779.00","1,045.25","28,30,856","4,50,51,79,409.10","1,10,398"
"06-Jan-2025","EQ","1,596.15","1,609.85","1,567.10","1,598.85","1,589.35","1,588.45","1,589.02","1,779.00","1,045.25","45,84,188","7,28,43,66,528.40","1,26,704"
